id,enabled,deleted,exclusive,title,priority,apply_to,filters,conditions,product_adjustments,cart_adjustments,buy_x_get_x_adjustments,buy_x_get_y_adjustments,bulk_adjustments,set_adjustments,other_discounts,date_from,date_to,usage_limits,rule_language,used_limits,additional,max_discount_sum,advanced_discount_message,discount_type,used_coupons,created_by,created_on,modified_by,modified_on
157,1,0,0,"Descuento lote 110",1,,"{""1"":{""type"":""product_sku"",""method"":""in_list"",""value"":[""8588988650506"",""8588988782900"",""8588988782901"",""8588988782870"",""8588988782894"",""8588981005808"",""8588981005808-1""],""product_variants"":[]}}","{""2"":{""type"":""cart_items_quantity"",""options"":{""operator"":""greater_than_or_equal"",""value"":""3"",""calculate_from"":""from_filter""}}}","{""cart_label"":""""}",[],[],[],"{""operator"":""product"",""ranges"":{""1"":{""from"":"""",""to"":""2"",""type"":""flat"",""value"":""0"",""label"":""Al detalle""},""2"":{""from"":""3"",""to"":""11"",""type"":""flat"",""value"":""110"",""label"":""Nivel I""}},""cart_label"":""""}","{""cart_label"":""""}",,,,0,[],11,"{""condition_relationship"":""and""}",0,"{""display"":""0"",""badge_color_picker"":""#ffffff"",""badge_text_color_picker"":""#000000"",""badge_text"":""""}",wdr_bulk_discount,[],,,1,"2025-06-03 16:22:05"
6,1,0,0,"Descuento lote 200",2,0,"{""1"":{""type"":""product_sku"",""method"":""in_list"",""value"":[""6985578854498"",""MG00093"",""MG00094"",""8588988509040"",""6910957091089"",""8588988572273"",""8588988509033"",""7806010280196"",""760412298104"",""8588988756666"",""8588988939939"",""8588988939779"",""8588988572310"",""760412298098""],""product_variants"":[]}}","{""2"":{""type"":""cart_items_quantity"",""options"":{""operator"":""greater_than_or_equal"",""value"":""3"",""calculate_from"":""from_filter""}}}","{""cart_label"":""""}",[],[],[],"{""operator"":""product"",""ranges"":{""1"":{""from"":"""",""to"":""2"",""type"":""flat"",""value"":""0"",""label"":""Al detalle""},""2"":{""from"":""3"",""to"":""11"",""type"":""flat"",""value"":""200"",""label"":""Nivel I""}},""cart_label"":""""}","{""cart_label"":""""}",,,,0,[],104,"{""condition_relationship"":""and""}",0,"{""display"":""0"",""badge_color_picker"":""#ffffff"",""badge_text_color_picker"":""#000000"",""badge_text"":""""}",wdr_bulk_discount,[],1,"2022-08-03 21:14:21",297,"2026-03-20 17:19:29"
7,1,0,0,"Descuento lote 210",3,0,"{""1"":{""type"":""product_sku"",""method"":""in_list"",""value"":[""MG00013"",""760412335700""],""product_variants"":[]}}","{""2"":{""type"":""cart_items_quantity"",""options"":{""operator"":""greater_than_or_equal"",""value"":""3"",""calculate_from"":""from_filter""}}}","{""cart_label"":""""}",[],[],[],"{""operator"":""product"",""ranges"":{""1"":{""from"":"""",""to"":""2"",""type"":""flat"",""value"":""0"",""label"":""Al detalle""},""2"":{""from"":""3"",""to"":""11"",""type"":""flat"",""value"":""210"",""label"":""Nivel I""}},""cart_label"":""""}","{""cart_label"":""""}",,,,0,[],44,"{""condition_relationship"":""and""}",0,"{""display"":""0"",""badge_color_picker"":""#ffffff"",""badge_text_color_picker"":""#000000"",""badge_text"":""""}",wdr_bulk_discount,[],1,"2022-08-03 21:14:21",1,"2025-07-08 11:15:20"
8,1,0,0,"Descuento lote 250",4,0,"{""1"":{""type"":""product_sku"",""method"":""in_list"",""value"":[""6972267403341"",""6882953222111"",""8588988669492"",""8588988655914"",""8588988666507"",""8588988821685"",""8588988669553"",""8588988669645"",""8588988795047"",""858898801731"",""8588988655945"",""8588988655891"",""8588988654306"",""8588988656263"",""8588988652326"",""8588988606244"",""8588988580483"",""9005079676898"",""9005080676894"",""8588988719487"",""8588988783884"",""8588988579630"",""8588988823344"",""8588988821920"",""8588988823351"",""8588988814540"",""858898801717"",""8588988639600"",""8588988666132"",""858898801755"",""8588988670948"",""8588988670979"",""8588988891947"",""8588988783891"",""7822456142010"",""8588988896355"",""8588988818043"",""6975222513970"",""8588988924881"",""8588988813307"",""9669669809365"",""9669669100516"",""8588988955977"",""8588988986018"",""8588988809317"",""8588988991814"",""8588988936969"",""8588988936907"",""8588988937621"",""8588988510503"",""8588988824716"",""8588988896805"",""8588988823962"",""8588988992644"",""8588988917814"",""760412262167-12"",""8588981002777"",""6971764129334"",""9005116676898"",""8588988939762"",""8588988939601"",""8588988771638"",""8588981015876"",""8588988896782"",""8588988955601"",""8588988955878"",""8588988932602"",""9669669104767"",""8588981018013"",""8588981072794"",""8588988664350"",""8588981078987"",""8588988821937"",""8588981018747"",""8588981101760"",""8588981101463"",""8588981101463-1"",""8588981089365"",""760412270186"",""8800577010370"",""760412337773"",""760412335922"",""9005117676897"",""9003038676897""],""product_variants"":[]}}","{""2"":{""type"":""cart_items_quantity"",""options"":{""operator"":""greater_than_or_equal"",""value"":""3"",""calculate_from"":""from_filter""}}}","{""cart_label"":""""}",[],[],[],"{""operator"":""product"",""ranges"":{""1"":{""from"":"""",""to"":""2"",""type"":""flat"",""value"":""0"",""label"":""Al detalle""},""2"":{""from"":""3"",""to"":""11"",""type"":""flat"",""value"":""250"",""label"":""Nivel I""}},""cart_label"":""""}","{""cart_label"":""""}",,,,0,[],279,"{""condition_relationship"":""and""}",0,"{""display"":""0"",""badge_color_picker"":""#ffffff"",""badge_text_color_picker"":""#000000"",""badge_text"":""""}",wdr_bulk_discount,[],1,"2022-08-03 21:14:21",297,"2026-03-20 17:30:28"
9,1,0,0,"Descuento lote 300",5,0,"{""1"":{""type"":""product_sku"",""method"":""in_list"",""value"":[""7877771310323"",""7707342667320"",""6810280331534"",""760412336356"",""760412335977"",""7877771303141-1"",""MG00029"",""8588988597115"",""8588088597184"",""8588088635015"",""8588088597269"",""760412333096"",""8588988725655"",""8588988725624"",""760412291518"",""760412292317"",""8588988729561"",""6918090008865"",""6987521233121"",""7822456199656"",""8588988798499"",""6931848030680"",""6931848027482"",""6973726253989"",""8588988797324"",""9669669401057"",""7822456450979"",""MB008011"",""9005001676897"",""7822456320968"",""760412334352"",""MGUAS03"",""8588988777814"",""8588988797256"",""760412332792"",""760412332778"",""8800577003150"",""8800577003143"",""6323956020088"",""MG081912"",""MG081914"",""MG081916"",""MG081925"",""MG081926"",""MG082521"",""MG082524"",""MG082529"",""MG089094"",""MG09096"",""MG089100"",""MG0891002"",""MG089101"",""MG089869"",""MG089871"",""MG089873"",""MG074923"",""MG074924"",""MG074926"",""MG074927"",""MG076341"",""76041280254-5"",""760412262167""],""product_variants"":[]}}","{""2"":{""type"":""cart_items_quantity"",""options"":{""operator"":""greater_than_or_equal"",""value"":""3"",""calculate_from"":""from_filter""}}}","{""cart_label"":""""}",[],[],[],"{""operator"":""product"",""ranges"":{""1"":{""from"":"""",""to"":""2"",""type"":""flat"",""value"":""0"",""label"":""Al detalle""},""2"":{""from"":""3"",""to"":""11"",""type"":""flat"",""value"":""300"",""label"":""Nivel I""}},""cart_label"":""""}","{""cart_label"":""""}",,,,0,[],643,"{""condition_relationship"":""and""}",0,"{""display"":""0"",""badge_color_picker"":""#ffffff"",""badge_text_color_picker"":""#000000"",""badge_text"":""""}",wdr_bulk_discount,[],1,"2022-08-03 21:14:21",297,"2026-05-28 11:14:55"
12,1,0,0,"Descuento lote 350",6,0,"{""1"":{""type"":""product_sku"",""method"":""in_list"",""value"":[""8588988624316"",""7822456327011"",""8588988994952""],""product_variants"":[]}}","{""2"":{""type"":""cart_items_quantity"",""options"":{""operator"":""greater_than_or_equal"",""value"":""3"",""calculate_from"":""from_filter""}}}","{""cart_label"":""""}",[],[],[],"{""operator"":""product"",""ranges"":{""1"":{""from"":"""",""to"":""2"",""type"":""flat"",""value"":""0"",""label"":""Al detalle""},""2"":{""from"":""3"",""to"":""11"",""type"":""flat"",""value"":""350"",""label"":""Nivel I""}},""cart_label"":""""}","{""cart_label"":""""}",,,,0,[],39,"{""condition_relationship"":""and""}",0,"{""display"":""0"",""badge_color_picker"":""#ffffff"",""badge_text_color_picker"":""#000000"",""badge_text"":""""}",wdr_bulk_discount,[],1,"2022-08-03 21:14:21",1,"2025-07-08 11:34:18"
13,1,0,0,"Descuento lote 390",7,0,"{""1"":{""type"":""product_sku"",""method"":""in_list"",""value"":[""7702172655677"",""760412296421"",""760412296391"",""760412296346"",""760412311025-01"",""760412292706"",""6960660619056"",""7822456303787""],""product_variants"":[]}}","{""2"":{""type"":""cart_items_quantity"",""options"":{""operator"":""greater_than_or_equal"",""value"":""3"",""calculate_from"":""from_filter""}}}","{""cart_label"":""""}",[],[],[],"{""operator"":""product"",""ranges"":{""1"":{""from"":"""",""to"":""2"",""type"":""flat"",""value"":""0"",""label"":""Al detalle""},""2"":{""from"":""3"",""to"":""11"",""type"":""flat"",""value"":""390"",""label"":""Nivel I""}},""cart_label"":""""}","{""cart_label"":""""}",,,,0,[],130,"{""condition_relationship"":""and""}",0,"{""display"":""0"",""badge_color_picker"":""#ffffff"",""badge_text_color_picker"":""#000000"",""badge_text"":""""}",wdr_bulk_discount,[],1,"2022-08-03 21:14:21",1,"2025-07-09 11:16:58"
14,1,0,0,"Descuento lote 400",8,0,"{""1"":{""type"":""product_sku"",""method"":""in_list"",""value"":[""7877771303141"",""7807101701958"",""6972544607950"",""6972544604928"",""6972544601668"",""6903072412587"",""6903072403653"",""760412344603"",""760412335199"",""760412333379"",""8588988716363"",""760412335618"",""6903072401932"",""760412291693"",""7877771305541"",""6941520384406"",""760412336028"",""6903072398966"",""7877771305862"",""6928001833509"",""6928001831284"",""760412333560"",""760412291846"",""760412332990"",""4890000902185"",""85888988553654"",""760412291723"",""8588988732400"",""6903072413508"",""8588988732301"",""8588988710613"",""6903072416073"",""760412263300"",""760412263324"",""760412263317"",""9669669801154"",""8588988711702"",""8588988711863"",""8588988723764"",""8588988762582"",""760412263713"",""8588988734039"",""8588988666040"",""8588988779566"",""8588988799090"",""8588988779559"",""8588988789039"",""8588988666071"",""8588988695064"",""8588988802486"",""8588988805036"",""8588988666019"",""8588988794255"",""8588988733933"",""8588988507992"",""760412296872"",""760412328016"",""9669669103067"",""9669669000489"",""7822456322351"",""6924271685183"",""8588988783938"",""8588988783921"",""6915440102457"",""8588988727260"",""8588988727246"",""8588988733148"",""8588988730963"",""8588988730918"",""8588988799267"",""8588988758943"",""8588988710125"",""6903072428625"",""760412337926"",""760412333263"",""760412333256"",""8588988796631"",""6903072412907"",""9669669807200"",""9669669804100"",""9669669100165"",""760412338213"",""7877771306616"",""7822456306924"",""8588988783914"",""8588988719494"",""8588988794378"",""85889888103320"",""8588988942588"",""8588988757649"",""8588988912673"",""8588988892616"",""8588988896546"",""8588988587048"",""MG0090"",""7822456306856"",""7822456343257"",""MG00SKINCARE"",""8588988824075"",""8588981009691-1"",""8588988893217"",""8588988893224"",""8588981011533"",""8588988926328"",""8588988923754"",""8588988923617"",""8588988923600"",""8588981009745"",""8588981001732"",""8588988970918"",""8588988998097"",""8588988998103"",""760412309961"",""6931848030680-1"",""6931848030697"",""9786062063061"",""8588981009769"",""8588988994914"",""8588988911850"",""8588988893705"",""8588988802660"",""9669669700617"",""8588981087491"",""8588981087347"",""8588981119116"",""8588981084162"",""8588988814533"",""8588981039483"",""8588981084223"",""8588988795467"",""8588981023789"",""8588981080843"",""8588981074729"",""8588988896713"",""8588988829940"",""7701303966002"",""8588981156937"",""8588981147249"",""760412311025"",""760412311049"",""7804947002928"",""8800577010448"",""8800577010455"",""8800577010363"",""8800577010417"",""8800577010387"",""8800577007684"",""8800577014996"",""6323956080013"",""8800577016174"",""6931848030666"",""8588981115477"",""8588981140950"",""8800577018512"",""8588981196278""],""product_variants"":[]}}","{""2"":{""type"":""cart_items_quantity"",""options"":{""operator"":""greater_than_or_equal"",""value"":""3"",""calculate_from"":""from_filter""}}}","{""cart_label"":""""}",[],[],[],"{""operator"":""product"",""ranges"":{""1"":{""from"":"""",""to"":""2"",""type"":""flat"",""value"":""0"",""label"":""Al detalle""},""2"":{""from"":""3"",""to"":""11"",""type"":""flat"",""value"":""400"",""label"":""Nivel I""}},""cart_label"":""""}","{""cart_label"":""""}",,,,0,[],465,"{""condition_relationship"":""and""}",0,"{""display"":""0"",""badge_color_picker"":""#ffffff"",""badge_text_color_picker"":""#000000"",""badge_text"":""""}",wdr_bulk_discount,[],1,"2022-08-03 21:14:21",297,"2026-03-20 17:37:45"
15,1,0,0,"Descuento lote 410",9,0,"{""1"":{""type"":""product_sku"",""method"":""in_list"",""value"":[""760412337070"",""8800577016853"",""8800577016846"",""8800577012152""],""product_variants"":[]}}","{""2"":{""type"":""cart_items_quantity"",""options"":{""operator"":""greater_than_or_equal"",""value"":""3"",""calculate_from"":""from_filter""}}}","{""cart_label"":""""}",[],[],[],"{""operator"":""product"",""ranges"":{""1"":{""from"":"""",""to"":""2"",""type"":""flat"",""value"":""0"",""label"":""Al detalle""},""2"":{""from"":""3"",""to"":""11"",""type"":""flat"",""value"":""410"",""label"":""Nivel I""}},""cart_label"":""""}","{""cart_label"":""""}",,,,0,[],26,"{""condition_relationship"":""and""}",0,"{""display"":""0"",""badge_color_picker"":""#ffffff"",""badge_text_color_picker"":""#000000"",""badge_text"":""""}",wdr_bulk_discount,[],1,"2022-08-03 21:14:21",297,"2026-04-17 11:34:13"
16,1,0,0,"Descuento lote 460",10,0,"{""1"":{""type"":""product_sku"",""method"":""in_list"",""value"":[""760412295134""],""product_variants"":[]}}","{""2"":{""type"":""cart_items_quantity"",""options"":{""operator"":""greater_than_or_equal"",""value"":""3"",""calculate_from"":""from_filter""}}}","{""cart_label"":""""}",[],[],[],"{""operator"":""product"",""ranges"":{""1"":{""from"":"""",""to"":""2"",""type"":""flat"",""value"":""0"",""label"":""Al detalle""},""2"":{""from"":""3"",""to"":""11"",""type"":""flat"",""value"":""460"",""label"":""Nivel I""}},""cart_label"":""""}","{""cart_label"":""""}",,,,0,[],0,"{""condition_relationship"":""and""}",0,"{""display"":""0"",""badge_color_picker"":""#ffffff"",""badge_text_color_picker"":""#000000"",""badge_text"":""""}",wdr_bulk_discount,[],1,"2022-08-03 21:14:21",1,"2023-07-17 15:49:06"
