"SKU","ID","Tipo","Nombre","Precio normal","_bgm_min_1","_bgm_descuento_1","_bgm_min_2","_bgm_descuento_2","_bgm_modo_descuento","reglas"
"8588988939601","24760","simple","Accesorio Para Moño Facil Ref:93960","1000","3","250","12","500","unico","#8 Descuento lote 250 ; #66 Descuento Nivel II lote 500"
"8588988939762","24759","simple","Accesorio Para Trenza Facil Ref:93976","800","3","250","12","500","unico","#8 Descuento lote 250 ; #66 Descuento Nivel II lote 500"
"6944959253923","40408","simple","Aceite Capilar Argan  Obopekal 70Ml","3490","3","500",,,"unico","#19 Descuento lote 500"
"9571891204545","11640","simple","Aceite Capilar Argan Expert Line","3490","3","800","12","1500","unico","#31 Descuento lote 800 ; #113 Descuento Nivel II lote 1500"
"7804676440056","6714","simple","Aceite Capilar Caballo Mflora","2990","3","800","12","1200","unico","#31 Descuento lote 800 ; #104 Descuento Nivel II lote 1200"
"6944959246116","23423","simple","Aceite Capilar Caballo Obopekal 70Ml","3490","3","500",,,"unico","#19 Descuento lote 500"
"7804666440087","2015","simple","Aceite Capilar De Almendras Mflora","2990","3","800","12","1200","unico","#31 Descuento lote 800 ; #104 Descuento Nivel II lote 1200"
"7804666440131","16331","simple","Aceite Capilar De Aloe Vera Mflora","2990","3","800","12","1200","unico","#31 Descuento lote 800 ; #104 Descuento Nivel II lote 1200"
"7804666440032","3907","simple","Aceite Capilar De Argan Mflora","2990","3","800","12","1200","unico","#31 Descuento lote 800 ; #104 Descuento Nivel II lote 1200"
"7804666440162","16330","simple","Aceite Capilar De Coco Karite Mflora","2990","3","800","12","1200","unico","#31 Descuento lote 800 ; #104 Descuento Nivel II lote 1200"
"7804666440018","2088","simple","Aceite Capilar De Coco Mflora","2990","3","800","12","1200","unico","#31 Descuento lote 800 ; #104 Descuento Nivel II lote 1200"
"7804666440100","3249","simple","Aceite Capilar De Ricino Mflora","2990","3","800","12","1200","unico","#31 Descuento lote 800 ; #104 Descuento Nivel II lote 1200"
"6323956010058","23863","simple","Aceite Capilar Hello Kitty Con Glitter","3890","3","600","12","1000","unico","#24 Descuento lote 600 ; #95 Descuento Nivel II lote 1000"
"9571891202527","39885","simple","Aceite Capilar Jojoba Expert line","3490","3","800","12","1500","unico","#31 Descuento lote 800 ; #113 Descuento Nivel II lote 1500"
"77385558656532","6715","simple","Aceite Capilar Keratine Choc Mflora","2990","3","800","12","1200","unico","#31 Descuento lote 800 ; #104 Descuento Nivel II lote 1200"
"9571891205559","12032","simple","Aceite Capilar Marroqui Expert Line","3490","3","800","12","1500","unico","#31 Descuento lote 800 ; #113 Descuento Nivel II lote 1500"
"7804666440186","16334","simple","Aceite Capilar Matizador Mflora","2990","3","800","12","1200","unico","#31 Descuento lote 800 ; #104 Descuento Nivel II lote 1200"
